label,message,cleaned
1,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",number guaranteed latests nokia phone numbergb ipod mpnumber player number prize txt wordcollect nonumber tcllc nyusa numberpmt msgrcvdnumber
2,ICICI alert: Your card suspended. Click link to verify immediately.,icici alert card suspended click link verify immediately
0,Nope... Think i will go for it on monday... Sorry i replied so late,nope think go monday sorry replied late
1,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,themobyo yo yohere comes new selection hot downloads members get free click open next link sent ur fone
1,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",got takes number take part wrc rally oz u lucozade energy text rally le number numberp see packs lucozadecoukwrc itcould u
0,U coming 2 pick me?,u coming number pick
2,Kotak alert: Your OTP expired. Click link to verify immediately.,kotak alert otp expired click link verify immediately
1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,december mobile numbermths entitled update latest colour camera mobile free call mobile update co free number
0,Good morning pookie pie! Lol hope I didn't wake u up,good morning pookie pie lol hope didnt wake u
2,Kotak alert: Your OTP expired. Click link to verify immediately.,kotak alert otp expired click link verify immediately
0,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,stop calling everyone saying might cancer throat hurts talk cant answering everyones calls get one call im babysitting monday
0,I dont thnk its a wrong calling between us,dont thnk wrong calling us
0,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
2,HDFC alert: Your KYC update. Click link to verify immediately.,hdfc alert kyc update click link verify immediately
1,"URGENT! Your mobile was awarded a Â£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",urgent mobile awarded numbernumber bonus caller prize numbernumbernumber final attempt number contact u call number
0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,number tension face number smiling face number waste face number innocent face numberterror face numbercruel face numberromantic face numberlovable face numberdecent face ltgt joker face
2,SBI alert: Your KYC update. Click link to verify immediately.,sbi alert kyc update click link verify immediately
2,Kotak alert: Your KYC update. Click link to verify immediately.,kotak alert kyc update click link verify immediately
2,Kotak alert: Your PAN verification. Click link to verify immediately.,kotak alert pan verification click link verify immediately
1,tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,tells u number call number claim number prize u number enter ur mobile personal details prompts careful
2,Axis alert: Your PAN verification. Click link to verify immediately.,axis alert pan verification click link verify immediately
0,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",life means lot love life love people life world calls friends call world ge
1,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",contacted dating service someone know find call mobile landline number poboxnumberldnsnumber
1,Get buy 1 get 1 on mobile. Shop now.,get buy number get number mobile shop
0,I have lost 10 kilos as of today!,lost number kilos today
2,HDFC alert: Your account blocked. Click link to verify immediately.,hdfc alert account blocked click link verify immediately
1,RCT' THNQ Adrian for U text. Rgds Vatian,rct thnq adrian u text rgds vatian
0,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri
0,Fuck cedar key and fuck her (come over anyway tho),fuck cedar key fuck come anyway tho
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
1,Get 50% discount on fashion. Shop now.,get number discount fashion shop
2,SBI alert: Your PAN verification. Click link to verify immediately.,sbi alert pan verification click link verify immediately
0,I am on the way to tirupur.,way tirupur
1,Get special price on mobile. Shop now.,get special price mobile shop
2,SBI alert: Your KYC update. Click link to verify immediately.,sbi alert kyc update click link verify immediately
1,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,free tones hope enjoyed new content text stop number unsubscribe helpnumberp provided tonesnumberyoucouk
2,HDFC alert: Your KYC update. Click link to verify immediately.,hdfc alert kyc update click link verify immediately
2,SBI alert: Your KYC update. Click link to verify immediately.,sbi alert kyc update click link verify immediately
2,HDFC alert: Your OTP expired. Click link to verify immediately.,hdfc alert otp expired click link verify immediately
1,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",hot live fantasies call number numberp per min ntt ltd po box number croydon crnumber numberwb numberk
1,Get buy 1 get 1 on shopping. Shop now.,get buy number get number shopping shop
2,SBI alert: Your OTP expired. Click link to verify immediately.,sbi alert otp expired click link verify immediately
1,Uâve Bin Awarded Â£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min Â£50-Â£500. OptOut 08718727870,uve bin awarded number play number instant cash call number claim every numberth player wins min numbernumber optout number
0,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,nice new shirts thing wear nudist themed mu
0,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",hey guy know breathing neck get bud anyway youd able get half track usf tonight
1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",numbernd time tried number contact u u number pound prize number claim easy call number numberp per min btnationalrate
1,Moby Pub Quiz.Win a Â£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP Â£1.50 008704050406 SP Arrow,moby pub quizwin number high street prize u know new duchess cornwall txt first name numberunsub stop numbernumber number sp arrow
1,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,good luck draw takes place numberth feb number good luck removal send stop number customer services number
2,ICICI alert: Your PAN verification. Click link to verify immediately.,icici alert pan verification click link verify immediately
1,Get festival sale on mobile. Shop now.,get festival sale mobile shop
1,Get limited offer on groceries. Shop now.,get limited offer groceries shop
0,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,dare stupid wont tell anything hear wont talk
0,It's Ã© only $140 ard...Ã rest all ard $180 at least...Which is Ã© price 4 Ã© 2 bedrm ($900),number ard rest ard number leastwhich price number number bedrm number
0,"Sorry, I'll call later",sorry ill call later
2,SBI alert: Your account blocked. Click link to verify immediately.,sbi alert account blocked click link verify immediately
0,I'm awake oh. What's up.,im awake oh whats
0,At the funeral home with Audrey and dad,funeral home audrey dad
2,ICICI alert: Your OTP expired. Click link to verify immediately.,icici alert otp expired click link verify immediately
0,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",chinatown got porridge claypot rice yam cake fishhead beehoon either eat cheap den go cafe n tok go nydc somethin
0,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,hey still want go yogasana coz end cine go bathe hav steam bath
1,You have 1 new message. Please call 08712400200.,number new message please call number
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",freemsg hey darling number weeks word back id like fun still tb ok xxx std chgs send numbernumber rcv
1,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 Â£3/wk 087016248,sex ur mobile free sexy pic jordan text babe number every wk get sexy celeb pocketbabecouk number pics number numberwk number
0,"Sorry, I'll call later",sorry ill call later
2,Update Aadhaar KYC to avoid blocking.,update aadhaar kyc avoid blocking
0,They will pick up and drop in car.so no problem..,pick drop carso problem
2,Kotak alert: Your unauthorized login. Click link to verify immediately.,kotak alert unauthorized login click link verify immediately
1,Get limited offer on mobile. Shop now.,get limited offer mobile shop
0,Do you think i can move  &lt;#&gt;  in a week,think move ltgt week
0,I'm on da bus going home...,im da bus going home
1,Get free voucher on electronics. Shop now.,get free voucher electronics shop
2,HDFC alert: Your unauthorized login. Click link to verify immediately.,hdfc alert unauthorized login click link verify immediately
2,Axis alert: Your card suspended. Click link to verify immediately.,axis alert card suspended click link verify immediately
1,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just Â£5 by replying GET BBDELUXE and take the challenge,block breaker comes deluxe format new features great graphics tmobile buy number replying get bbdeluxe take challenge
