label,message
1,Get 50% discount on electronics today.
1,Limited time offer! 70% off on all items.
1,Flash sale! Buy now and save big.
1,Exclusive deal just for you! 60% discount.
1,Hurry! Sale ends today. Get 40% off.
1,Special offer: Free shipping on orders over $50.
1,Don't miss out! 80% discount on selected items.
1,Today only: Buy 1 get 1 free.
1,Mega sale! Up to 90% off everything.
1,Last chance! 50% off clearance items.
1,Weekend special: Extra 30% off sale items.
1,Shop now and get free gift with purchase.
1,Limited stock! 50% discount on electronics.
1,Black Friday deals! Save up to 70%.
1,Cyber Monday sale! Huge discounts available.
1,End of season sale! 60% off clothing.
1,New arrivals! Get 25% off your first order.
1,Clearance sale! Everything must go.
1,Hot deals! 50% off on fashion items.
1,Summer sale! Save big on all products.
