label,message
1,ICICI alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your unauthorized login. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your unauthorized login. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your KYC update. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your KYC update. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,Axis alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your unauthorized login. Click link to verify immediately.
1,Axis alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,Axis alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,Axis alert: Your OTP expired. Click link to verify immediately.
1,Kotak alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your card suspended. Click link to verify immediately.
1,Axis alert: Your account blocked. Click link to verify immediately.
1,Axis alert: Your unauthorized login. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,ICICI alert: Your OTP expired. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your OTP expired. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,SBI alert: Your account blocked. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your PAN verification. Click link to verify immediately.
1,Kotak alert: Your KYC update. Click link to verify immediately.
1,Kotak alert: Your PAN verification. Click link to verify immediately.
1,HDFC alert: Your account blocked. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,SBI alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your OTP expired. Click link to verify immediately.
1,Axis alert: Your account blocked. Click link to verify immediately.
1,HDFC alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your card suspended. Click link to verify immediately.
1,SBI alert: Your KYC update. Click link to verify immediately.
1,HDFC alert: Your card suspended. Click link to verify immediately.
1,ICICI alert: Your PAN verification. Click link to verify immediately.
1,Axis alert: Your KYC update. Click link to verify immediately.
