label,message
1,Your SBI account is blocked due to suspicious activity. Update KYC immediately.
1,HDFC alert: Verify PAN details to avoid account freeze.
1,Your OTP will expire in 5 minutes. Click link to confirm.
1,ICICI Bank notice: Account suspended. Reactivate now.
1,Axis Bank: Unauthorized login detected. Verify immediately.
1,Your debit card is blocked. Update details now.
1,Your credit card is suspended. Click to activate.
1,Transaction declined. Confirm now.
1,Update Aadhaar to continue banking services.
1,Account temporarily blocked. Verify identity.
1,Instant loan approved. Apply now.
1,Pre-approved loan ready. Click here.
1,Low interest loan. Limited offer.
1,Your EMI overdue. Pay immediately.
1,Get loan without documents.
1,Your UPI payment is pending. Approve request.
1,You received money. Click to accept.
1,Payment failed. Update bank details.
1,Refund initiated. Confirm account.
1,Wallet suspended. Verify now.
1,Your parcel is on hold. Pay delivery charge.
1,Amazon order failed. Update address.
1,Courier delivery pending. Confirm now.
1,Customs fee pending. Pay immediately.
1,Shipment delayed. Click to track.
1,Recharge failed. Update payment.
1,Mobile number will be blocked. Recharge now.
1,Your SIM KYC expired. Verify immediately.
1,Government subsidy approved. Claim now.
1,PM scheme benefit pending. Register.
1,Income tax refund ready. Click to receive.
1,Electricity bill overdue. Pay now.
1,Power connection will be disconnected.
1,Water bill unpaid. Clear immediately.
1,Gas subsidy pending. Update details.
1,Insurance expired. Renew now.
1,Policy lapsed. Pay premium.
1,Mutual fund suspended. Verify.
1,Your trading account locked.
1,Demat account blocked. Confirm identity.
